event_num,period,clock,teamTricode,substitutionIn,substitutionOut,raw_event
24,1,PT10M22.00S,MIN,,,"{""actionNumber"": 24, ""clock"": ""PT10M22.00S"", ""timeActual"": ""2025-05-21T00:47:02.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 203497, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""1"", ""scoreAway"": ""8"", ""edited"": ""2025-05-21T00:47:06Z"", ""orderNumber"": 240000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: R. Gobert"", ""playerName"": ""Gobert"", ""playerNameI"": ""R. Gobert"", ""personIdsFilter"": [203497]}"
25,1,PT10M22.00S,MIN,,,"{""actionNumber"": 25, ""clock"": ""PT10M22.00S"", ""timeActual"": ""2025-05-21T00:47:02.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1629675, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""1"", ""scoreAway"": ""8"", ""edited"": ""2025-05-21T00:47:06Z"", ""orderNumber"": 250000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: N. Reid"", ""playerName"": ""Reid"", ""playerNameI"": ""N. Reid"", ""personIdsFilter"": [1629675]}"
41,1,PT08M59.00S,OKC,,,"{""actionNumber"": 41, ""clock"": ""PT08M59.00S"", ""timeActual"": ""2025-05-21T00:49:34.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1631096, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""3"", ""scoreAway"": ""8"", ""edited"": ""2025-05-21T00:49:38Z"", ""orderNumber"": 410000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: C. Holmgren"", ""playerName"": ""Holmgren"", ""playerNameI"": ""C. Holmgren"", ""personIdsFilter"": [1631096]}"
42,1,PT08M59.00S,OKC,,,"{""actionNumber"": 42, ""clock"": ""PT08M59.00S"", ""timeActual"": ""2025-05-21T00:49:34.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1641717, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""3"", ""scoreAway"": ""8"", ""edited"": ""2025-05-21T00:49:38Z"", ""orderNumber"": 420000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: C. Wallace"", ""playerName"": ""Wallace"", ""playerNameI"": ""C. Wallace"", ""personIdsFilter"": [1641717]}"
81,1,PT06M21.00S,MIN,,,"{""actionNumber"": 81, ""clock"": ""PT06M21.00S"", ""timeActual"": ""2025-05-21T00:57:51.6Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 201144, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""11"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T00:58:17Z"", ""orderNumber"": 810000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: M. Conley"", ""playerName"": ""Conley"", ""playerNameI"": ""M. Conley"", ""personIdsFilter"": [201144]}"
82,1,PT06M21.00S,MIN,,,"{""actionNumber"": 82, ""clock"": ""PT06M21.00S"", ""timeActual"": ""2025-05-21T00:57:51.6Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1628978, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""11"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T00:58:17Z"", ""orderNumber"": 820000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: D. DiVincenzo"", ""playerName"": ""DiVincenzo"", ""playerNameI"": ""D. DiVincenzo"", ""personIdsFilter"": [1628978]}"
97,1,PT05M18.00S,OKC,,,"{""actionNumber"": 97, ""clock"": ""PT05M18.00S"", ""timeActual"": ""2025-05-21T01:00:19.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1628392, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""14"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T01:00:22Z"", ""orderNumber"": 970000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: I. Hartenstein"", ""playerName"": ""Hartenstein"", ""playerNameI"": ""I. Hartenstein"", ""personIdsFilter"": [1628392]}"
98,1,PT05M18.00S,OKC,,,"{""actionNumber"": 98, ""clock"": ""PT05M18.00S"", ""timeActual"": ""2025-05-21T01:00:19.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1631096, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""14"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T01:00:22Z"", ""orderNumber"": 980000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: C. Holmgren"", ""playerName"": ""Holmgren"", ""playerNameI"": ""C. Holmgren"", ""personIdsFilter"": [1631096]}"
106,1,PT04M34.00S,OKC,,,"{""actionNumber"": 106, ""clock"": ""PT04M34.00S"", ""timeActual"": ""2025-05-21T01:01:27.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1631114, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""17"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T01:01:44Z"", ""orderNumber"": 1060000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: J. Williams"", ""playerName"": ""Williams"", ""playerNameI"": ""J. Williams"", ""personIdsFilter"": [1631114]}"
107,1,PT04M34.00S,MIN,,,"{""actionNumber"": 107, ""clock"": ""PT04M34.00S"", ""timeActual"": ""2025-05-21T01:01:27.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 203944, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""17"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T01:01:44Z"", ""orderNumber"": 1070000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: J. Randle"", ""playerName"": ""Randle"", ""playerNameI"": ""J. Randle"", ""personIdsFilter"": [203944]}"
