player_name,season,games_played,minutes_played,player_rating,offensive_win_shares,defensive_win_shares,total_win_shares,win_shares_per_48
Anthony Edwards,2024-25,79,2871.0,20.1,4.6,3.8,8.4,0.14
Jaden McDaniels,2024-25,82,2614.0,13.3,2.3,3.9,6.3,0.115
Rudy Gobert,2024-25,72,2388.0,18.3,6.1,4.0,10.1,0.204
Julius Randle,2024-25,69,2226.0,17.5,3.6,2.6,6.2,0.134
Naz Reid,2024-25,80,2200.0,15.8,2.4,3.3,5.7,0.125
Nickeil Alexander-Walker,2024-25,82,2073.0,11.6,2.0,2.3,4.3,0.099
Mike Conley,2024-25,71,1756.0,13.3,3.0,2.2,5.2,0.142
Donte DiVincenzo,2024-25,62,1606.0,14.1,1.6,2.2,3.9,0.115
Jaylen Clark,2024-25,40,522.0,12.0,0.9,0.7,1.6,0.147
Rob Dillingham,2024-25,49,516.0,10.2,-0.4,0.6,0.1,0.012
Terrence Shannon Jr.,2024-25,32,339.0,11.9,0.3,0.4,0.6,0.091
Josh Minott,2024-25,46,276.0,15.5,0.4,0.5,0.9,0.153
Luka Garza,2024-25,39,219.0,18.8,0.4,0.3,0.7,0.144
Joe Ingles,2024-25,19,114.0,2.4,-0.2,0.1,-0.1,-0.035
PJ Dozier,2024-25,9,35.0,9.5,0.0,0.0,0.1,0.107
Leonard Miller,2024-25,13,32.0,19.9,0.0,0.1,0.1,0.145
Bones Hyland,2024-25,4,17.0,11.1,0.0,0.0,0.1,0.165
Daishen Nix,2024-25,3,13.0,-7.0,-0.1,0.0,-0.1,-0.327
Tristen Newton,2024-25,3,8.0,3.1,0.0,0.0,0.0,-0.107
Jesse Edwards,2024-25,2,5.0,-0.1,0.0,0.0,0.0,0.111
